date,SO2,CO,PM10,NO2,O3,PM2.5
2022-03-08 02:00:00,9.912307692,305.4157692,26.87692308,22.16307692,20.61346154,25.59076923
2022-03-08 03:00:00,7.595428571,279.1911429,22.96942857,20.30114286,21.91857143,21.28942857
2022-03-08 04:00:00,7.13375,259.55575,19.414,19.74075,21.511,18.43475
2022-03-08 05:00:00,8.210740741,280.6448148,27.49333333,21.99777778,21.65444444,25.98740741
2022-03-08 06:00:00,8.749565217,285.9308696,26.94956522,20.79391304,19.25173913,25.37
2022-03-08 07:00:00,12.59115385,286.3296154,19.66807692,15.79884615,18.20653846,18.71461538
2022-03-08 08:00:00,12.83862069,260.6396552,14.44724138,11.85827586,16.84551724,13.75482759
2022-03-08 09:00:00,12.9064,268.9844,15.6472,8.2668,17.7936,14.3836
2022-03-08 10:00:00,12.57130435,328.0717391,20.34391304,8.845652174,22.11478261,19.03956522
2022-03-08 11:00:00,11.91148148,318.9607407,19.25222222,0.025555556,26.4162963,18.47666667
2022-03-08 12:00:00,10.41444444,318.5977778,17.78592593,4.583333333,34.93962963,16.98740741
2022-03-08 13:00:00,8.978636364,377.1095455,16.79909091,3.531363636,40.72454545,16.04545455
2022-03-08 14:00:00,12.87551724,416.6851724,16.71862069,8.632758621,40.09448276,15.85896552
2022-03-08 15:00:00,17.41821429,424.535,22.39642857,10.89357143,38.58071429,20.63142857
2022-03-08 16:00:00,16.36136364,459.155,20.09409091,18.64363636,38.11545455,19.00318182
2022-03-08 17:00:00,14.14695652,510.4947826,22.87782609,27.31565217,34.36869565,21.66347826
2022-03-08 18:00:00,13.62238095,481.602381,23.03333333,33.37571429,28.1752381,21.40142857
2022-03-08 19:00:00,14.29761905,453.4204762,25.59047619,31.45380952,23.31904762,23.22095238
2022-03-08 20:00:00,11.23227273,400.3986364,22.96545455,27.62136364,22.44818182,21.52545455
2022-03-08 21:00:00,9.787272727,303.6472727,12.04181818,26.91590909,23.45363636,11.54181818
2022-03-08 22:00:00,9.075769231,281.2423077,11.83307692,22.34538462,21.77769231,11.29346154
2022-03-08 23:00:00,7.207142857,285.9192857,17.02928571,22.03107143,24.15178571,16.07428571
2022-03-09 00:00:00,8.047666667,284.6826667,16.23633333,20.39866667,22.97933333,15.353
2022-03-09 01:00:00,7.810714286,266.427619,15.45142857,20.47738095,24.62690476,14.51309524
2022-03-09 02:00:00,7.802068966,280.6596552,21.26241379,23.01862069,24.89068966,19.99448276
2022-03-09 03:00:00,8.293913043,298.396087,29.26652174,24.64478261,22.04217391,26.96304348
2022-03-09 04:00:00,10.521,314.98875,31.1205,24.04825,20.991,28.929
2022-03-09 05:00:00,7.4,290.9745161,27.78806452,21.18193548,20.46709677,26.3883871
2022-03-09 06:00:00,8.947727273,290.4359091,28.40681818,21.00818182,20.64818182,26.88590909
2022-03-09 07:00:00,12.438,300.3976,27.604,17.3744,17.8164,26.072
2022-03-09 08:00:00,14.48241379,245.3837931,23.49413793,9.70137931,16.03793103,22.37724138
2022-03-09 09:00:00,12.4016,264.6016,24.5176,5.4008,20.5448,23.4004
